"","X","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1012",1012,1030,"Harry Potter and the Sorcerer's Stone","GB",2001,"Action","Electronic Arts",0.94,0.62,0.1,0.07,1.73
"955",955,973,"Midnight Club II","PS2",2003,"Racing","Take-Two Interactive",1.25,0.29,0,0.24,1.78
"965",965,983,"Wii Party U","WiiU",2013,"Misc","Nintendo",0.31,0.54,0.84,0.08,1.77
"47",47,47,"Super Mario 64","N64",1996,"Platform","Nintendo",6.91,2.85,1.91,0.23,11.89
"943",943,961,"Crazy Taxi","DC",2000,"Racing","Sega",1.1,0.51,0.12,0.08,1.81
"708",708,722,"Sonic Advance","GBA",2001,"Platform","Sega",1.19,0.71,0.22,0.13,2.24
"12",12,12,"Mario Kart DS","DS",2005,"Racing","Nintendo",9.81,7.57,4.13,1.92,23.42
"947",947,965,"Sonic Advance 2","GBA",2002,"Platform","Sega",0.93,0.59,0.21,0.07,1.8
"16",16,16,"Kinect Adventures!","X360",2010,"Misc","Microsoft Game Studios",14.97,4.94,0.24,1.67,21.82
"978",978,996,"Tom Clancy's Ghost Recon","XB",2002,"Shooter","Ubisoft",1.23,0.46,0,0.07,1.76
"949",949,967,"NBA 2K11","PS3",2010,"Action","Take-Two Interactive",1.41,0.21,0.03,0.16,1.8
"643",643,656,"Batman: Arkham Origins","PS3",2013,"Action","Warner Bros. Interactive Entertainment",1.07,0.87,0.04,0.4,2.39
"556",556,564,"Final Fantasy XIII-2","PS3",2011,"Role-Playing","Square Enix",0.78,0.75,0.89,0.26,2.68
"156",156,157,"Assassin's Creed II","PS3",2009,"Action","Ubisoft",2.54,1.95,0.21,0.87,5.57
"1074",1074,1092,"Tony Hawk's Pro Skater 3","PS",2001,"Sports","Activision",1.09,0.49,0.02,0.07,1.67
"757",757,773,"Toy Story 3: The Video Game","DS",2010,"Action","Disney Interactive Studios",0.93,0.97,0.02,0.21,2.12
"281",281,285,"The Legend of Zelda: Skyward Sword","Wii",2011,"Action","Nintendo",2.14,1.2,0.37,0.4,4.1
"421",421,426,"God of War: Chains of Olympus","PSP",2008,"Action","Sony Computer Entertainment",1.48,1.01,0.04,0.66,3.19
"666",666,679,"My Fitness Coach","Wii",2008,"Sports","Ubisoft",1.2,0.9,0,0.24,2.34
"490",490,497,"Sega Superstars Tennis","X360",2008,"Sports","Sega",1.75,0.86,0,0.28,2.9
"871",871,889,"Mortal Kombat II","SNES",1993,"Fighting","Acclaim Entertainment",1.48,0.39,0,0.06,1.93
"250",250,253,"Need for Speed: Most Wanted","PS2",2005,"Racing","Electronic Arts",2.03,1.79,0.08,0.47,4.37
"567",567,575,"Star Wars: Shadows of the Empire","N64",1996,"Action","Nintendo",2,0.5,0.12,0.03,2.65
"538",538,546,"Mario Paint","SNES",1992,"Misc","Nintendo",1.43,0.54,0.71,0.07,2.75
"222",222,224,"Driver 2","PS",2000,"Action","Atari",2.36,2.1,0.02,0.25,4.73
"731",731,746,"Donkey Kong Country","GB",2000,"Platform","Nintendo",1.04,0.72,0.3,0.13,2.19
"328",328,332,"The Witcher 3: Wild Hunt","PS4",2015,"Role-Playing","Namco Bandai Games",0.96,2,0.21,0.56,3.73
"91",91,92,"Super Mario Galaxy 2","Wii",2010,"Platform","Nintendo",3.66,2.42,0.98,0.64,7.69
"584",584,592,"NBA Live 2005","PS2",2004,"Sports","Electronic Arts",2.03,0.21,0,0.35,2.59
"194",194,196,"Guitar Hero II","PS2",2006,"Misc","RedOctane",3.81,0.63,0,0.68,5.12
"147",147,148,"Final Fantasy XII","PS2",2006,"Role-Playing","Square Enix",1.88,0,2.33,1.74,5.95
"863",863,881,"Scooby Doo and the Cyber Chase","PS",2001,"Adventure","THQ",0.59,1.23,0,0.13,1.94
"663",663,676,"Midnight Club: Los Angeles","X360",2008,"Racing","Take-Two Interactive",1.68,0.46,0.01,0.2,2.35
"844",844,861,"Sonic Classic Collection","DS",2010,"Platform","Sega",0.99,0.8,0,0.18,1.97
"794",794,811,"Kingdom Hearts: Birth by Sleep","PSP",2010,"Role-Playing","Square Enix",0.63,0.42,0.75,0.26,2.07
"261",261,265,"Namco Museum","GBA",2001,"Misc","Namco Bandai Games",3,1.11,0.05,0.07,4.24
"759",759,775,"Kirby's Epic Yarn","Wii",2010,"Platform","Nintendo",1.47,0.09,0.45,0.11,2.12
"334",334,338,"MySims","DS",2007,"Simulation","Electronic Arts",1.59,1.61,0.08,0.41,3.69
"296",296,300,"Fallout 3","PS3",2008,"Role-Playing","Bethesda Softworks",2.15,1.2,0.07,0.59,4.01
"879",879,897,"Need for Speed: Shift","X360",2009,"Racing","Electronic Arts",0.73,0.97,0.01,0.22,1.92
"849",849,867,"BioShock Infinite","X360",2013,"Shooter","Take-Two Interactive",1.22,0.57,0.02,0.15,1.96
"1018",1018,1036,"The Elder Scrolls Online","PS4",2015,"Role-Playing","Bethesda Softworks",0.66,0.78,0,0.28,1.72
"1027",1027,1045,"Deal or No Deal","DS",2007,"Misc","Mindscape",1.15,0.41,0,0.15,1.71
"1000",1000,1018,"Portal 2","PS3",2011,"Shooter","Valve",0.83,0.63,0.02,0.25,1.74
"448",448,454,"Borderlands 2","X360",2012,"Shooter","Take-Two Interactive",1.89,0.91,0.04,0.24,3.07
"1067",1067,1085,"SSX 3","PS2",2003,"Sports","Electronic Arts",0.93,0.52,0,0.22,1.67
"694",694,707,"Paper Mario: Sticker Star","3DS",2012,"Role-Playing","Nintendo",1.12,0.39,0.64,0.12,2.27
"170",170,171,"Dr. Mario","GB",1989,"Puzzle","Nintendo",2.18,0.96,2,0.2,5.34
"387",387,392,"F-1 Race","GB",1990,"Racing","Nintendo",1.73,0.69,0.59,0.4,3.41
"742",742,757,"The Sims: House Party","PC",2001,"Simulation","Electronic Arts",1.23,0.83,0,0.1,2.16
"336",336,340,"Tony Hawk's Pro Skater 4","PS2",2002,"Sports","Activision",2.13,1.18,0.01,0.35,3.67
"730",730,745,"Kirby's Pinball Land","GB",1992,"Misc","Nintendo",0.87,0.17,1.1,0.05,2.19
"422",422,427,"Dragon Quest VI: Maboroshi no Daichi","SNES",1995,"Role-Playing","Enix Corporation",0,0,3.19,0,3.19
"728",728,743,"Saints Row","X360",2006,"Action","THQ",1.17,0.78,0.02,0.22,2.19
"427",427,433,"Rhythm Heaven","DS",2008,"Misc","Nintendo",0.58,0.51,1.93,0.14,3.17
"723",723,738,"Wario Land 3","GB",2000,"Platform","Nintendo",1.11,0.51,0.34,0.23,2.2
"900",900,918,"Medal of Honor: European Assault (All Region sales)","PS2",2005,"Shooter","Electronic Arts",0.89,0.69,0.09,0.21,1.88
"714",714,728,"Prince of Persia: The Sands of Time","PS2",2003,"Action","Ubisoft",0.88,1.03,0,0.31,2.22
"494",494,501,"Call of Duty: Finest Hour","PS2",2004,"Shooter","Activision",1.51,1.12,0.01,0.24,2.89
"818",818,835,"Peter Jackson's King Kong: The Official Game of the Movie","PS2",2005,"Action","Ubisoft",0.71,1.02,0,0.31,2.04
"780",780,797,"Wipeout: The Game","Wii",2009,"Misc","Mindscape",1.97,0,0,0.12,2.09
"895",895,913,"Yokai Watch","3DS",2013,"Role-Playing","Nintendo",0.21,0.3,1.33,0.04,1.89
"316",316,320,"Mario & Luigi: Bowser's Inside Story","DS",2009,"Role-Playing","Nintendo",2.26,0.48,0.81,0.27,3.83
"813",813,830,"PGR4 - Project Gotham Racing 4","X360",2007,"Racing","Microsoft Game Studios",0.48,1.29,0.02,0.25,2.05
"364",364,368,"Rugrats in Paris: The Movie","PS",2000,"Action","THQ",1.96,1.33,0,0.23,3.52
"805",805,822,"Mario & Luigi: Dream Team","3DS",2013,"Role-Playing","Nintendo",0.89,0.57,0.46,0.13,2.06
"1032",1032,1050,"Cabela's Big Game Hunter 2010","Wii",2009,"Sports","Activision Value",1.58,0,0,0.12,1.7
"964",964,982,"High School Musical: Sing It!","Wii",2007,"Misc","Disney Interactive Studios",1.16,0.45,0,0.16,1.77
"100",100,101,"The Legend of Zelda: Twilight Princess","Wii",2006,"Action","Nintendo",3.83,2.19,0.6,0.7,7.31
"201",201,203,"Tony Hawk's Pro Skater","PS",1999,"Sports","Activision",3.42,1.38,0.02,0.2,5.02
"922",922,940,"Pinball","NES",1984,"Action","Nintendo",0.8,0.19,0.83,0.03,1.85
"283",283,287,"Carnival Games","Wii",2007,"Misc","Take-Two Interactive",2.13,1.5,0.05,0.42,4.1
"927",927,945,"Hey You, Pikachu!","N64",1998,"Simulation","Nintendo",0.83,0.06,0.93,0,1.83
"942",942,960,"DDRMAX2: Dance Dance Revolution","PS2",2003,"Simulation","Konami Digital Entertainment",1.05,0.59,0,0.18,1.81
"71",71,71,"Call of Duty 4: Modern Warfare","X360",2007,"Shooter","Activision",5.91,2.38,0.13,0.9,9.32
"661",661,674,"Donkey Kong Land II","GB",1996,"Platform","Nintendo",1.39,0.48,0.4,0.08,2.35
"551",551,559,"Mario vs. Donkey Kong: Mini-Land Mayhem!","DS",2010,"Puzzle","Nintendo",1.63,0.52,0.35,0.18,2.69
"705",705,719,"Madden NFL 12","PS3",2011,"Sports","Electronic Arts",1.93,0.15,0,0.17,2.25
"272",272,276,"FIFA 12","X360",2011,"Sports","Electronic Arts",0.84,2.79,0.02,0.53,4.19
"82",82,82,"Pokemon Black 2/Pokemon White 2","DS",2012,"Role-Playing","Nintendo",2.91,1.86,3.14,0.43,8.33
"648",648,661,"WCW/nWo Revenge","N64",1998,"Fighting","THQ",1.94,0.39,0.03,0.02,2.38
"394",394,399,"The Legend of Zelda: Majora's Mask","N64",2000,"Action","Nintendo",1.9,0.67,0.73,0.06,3.36
"709",709,723,"Spyro: Season of Ice","GBA",2001,"Platform","Vivendi Games",1.29,0.83,0,0.11,2.23
"471",471,478,"Battlefield: Bad Company 2","PS3",2010,"Shooter","Electronic Arts",1.33,1.12,0.08,0.45,2.97
"670",670,683,"NBA 2K16","XOne",2015,"Sports","Take-Two Interactive",1.93,0.14,0,0.24,2.32
"210",210,212,"Madden NFL 06","PS2",2005,"Sports","Electronic Arts",3.98,0.26,0.01,0.66,4.91
"481",481,488,"inFAMOUS","PS3",2009,"Action","Sony Computer Entertainment",1.76,0.69,0.12,0.37,2.94
"711",711,725,"LEGO Indiana Jones: The Original Adventures","DS",2008,"Action","Activision",1.42,0.61,0,0.21,2.23
"458",458,464,"Killzone 2","PS3",2009,"Shooter","Sony Computer Entertainment",1.4,1.07,0.08,0.47,3.02
"177",177,178,"Professor Layton and the Curious Village","DS",2007,"Puzzle","Nintendo",1.22,2.48,1.03,0.52,5.26
"228",228,230,"Tomb Raider","PS",1996,"Action","Eidos Interactive",2.29,1.97,0.13,0.24,4.63
"130",130,131,"Pokémon Emerald Version","GBA",2004,"Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41
"651",651,664,"Madden NFL 11","PS3",2010,"Sports","Electronic Arts",2.04,0.15,0,0.19,2.38
"1048",1048,1066,"WCW vs. nWo: World Tour","N64",1997,"Fighting","THQ",1.37,0.28,0.03,0.02,1.69
"114",114,115,"Medal of Honor: Frontline","PS2",2002,"Shooter","Electronic Arts",2.93,2.75,0.17,0.99,6.83
"1",1,1,"Wii Sports","Wii",2006,"Sports","Nintendo",41.49,29.02,3.77,8.46,82.74
"994",994,1012,"Kirby's Adventure","NES",1993,"Platform","Nintendo",0.79,0.14,0.8,0.02,1.75
"800",800,817,"Tom Clancy's Splinter Cell: Conviction","X360",2010,"Action","Ubisoft",1.2,0.63,0.04,0.19,2.06
"457",457,463,"Rayman","PS",1995,"Platform","Ubisoft",1.54,1.33,0,0.16,3.03
"125",125,126,"Donkey Kong Country Returns","Wii",2010,"Platform","Nintendo",3.25,1.84,1.03,0.47,6.59
"633",633,643,"Dino Crisis","PS",1998,"Action","Capcom",0.81,0.76,0.7,0.14,2.41
"269",269,273,"Gran Turismo 5 Prologue","PS3",2007,"Racing","Sony Computer Entertainment",1.28,1.83,0.57,0.53,4.2
"318",318,322,"Nintendogs + cats","3DS",2011,"Simulation","Nintendo",1.44,1.37,0.73,0.27,3.81
"395",395,400,"Professor Layton and the Unwound Future","DS",2008,"Puzzle","Nintendo",0.65,1.61,0.82,0.28,3.36
"983",983,1001,"Call of Duty: Black Ops 3","X360",2015,"Shooter","Activision",1.11,0.48,0,0.16,1.76
"442",442,448,"Heavy Rain","PS3",2010,"Adventure","Sony Computer Entertainment",1.29,1.27,0.06,0.5,3.12
"910",910,928,"The Legend of Dragoon","PS",1999,"Role-Playing","Sony Computer Entertainment",0.94,0.44,0.39,0.1,1.86
"1030",1030,1048,"Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS","DS",2006,"Misc","Nintendo",0,0,1.71,0,1.71
"1089",1089,1107,"Dragon Ball Z: Budokai Tenkaichi","PS2",2005,"Fighting","Atari",0.96,0.12,0.54,0.04,1.66
"916",916,934,"Chrono Cross","PS",1999,"Role-Playing","SquareSoft",0.62,0.42,0.69,0.12,1.86
"576",576,584,"FIFA Soccer 10","X360",2009,"Sports","Electronic Arts",0.59,1.79,0.01,0.23,2.62
"719",719,733,"Assassin's Creed IV: Black Flag","XOne",2013,"Action","Ubisoft",1.47,0.55,0,0.19,2.21
"15",15,15,"Wii Fit Plus","Wii",2009,"Sports","Nintendo",9.09,8.59,2.53,1.79,22
"276",276,280,"Madden NFL 2003","PS2",2002,"Sports","Electronic Arts",3.36,0.21,0.01,0.56,4.14
"690",690,703,"FIFA Soccer 09","PS2",2008,"Sports","Electronic Arts",0.38,0.07,0.01,1.82,2.28
"128",128,129,"Assassin's Creed III","PS3",2012,"Action","Ubisoft",2.64,2.56,0.16,1.14,6.5
"749",749,764,"Super Mario RPG: Legend of the Seven Stars","SNES",1996,"Role-Playing","Nintendo",0.66,0,1.45,0.03,2.14
"559",559,567,"Guitar Hero: World Tour","X360",2008,"Misc","Activision",1.78,0.64,0,0.25,2.67
"1082",1082,1100,"Heavenly Sword","PS3",2007,"Action","Sony Computer Entertainment",0.57,0.73,0.06,0.3,1.66
"402",402,407,"Star Wars Episode III: Revenge of the Sith","PS2",2005,"Action","LucasArts",1.47,1.39,0.03,0.43,3.32
"894",894,912,"Madden NFL 09","PS3",2008,"Sports","Electronic Arts",1.56,0.15,0,0.18,1.89
"614",614,623,"Tomb Raider: The Last Revelation","PS",1998,"Action","Eidos Interactive",1.15,1.14,0.06,0.13,2.48
"473",473,480,"Star Wars: The Old Republic","PC",2011,"Role-Playing","Electronic Arts",1.58,1.01,0,0.38,2.97
"53",53,53,"Gran Turismo","PS",1997,"Racing","Sony Computer Entertainment",4.02,3.87,2.54,0.52,10.95
"852",852,870,"Soccer","NES",1985,"Sports","Nintendo",0.18,0.23,1.53,0.02,1.96
"523",523,530,"A Bug's Life","PS",1998,"Platform","Sony Computer Entertainment",1.96,0.72,0,0.11,2.79
"205",205,207,"Link's Crossbow Training","Wii",2007,"Shooter","Nintendo",3.06,1.18,0.29,0.46,5
"918",918,936,"Mario Party: Island Tour","3DS",2013,"Misc","Nintendo",0.61,0.59,0.55,0.11,1.85
"599",599,607,"Madden NFL 09","X360",2008,"Sports","Electronic Arts",2.21,0.12,0,0.2,2.54
"308",308,312,"Tekken 5","PS2",2005,"Fighting","Namco Bandai Games",0.93,1.94,0.31,0.7,3.87
"640",640,651,"Need for Speed (2015)","PS4",2015,"Racing","Electronic Arts",0.49,1.49,0.05,0.36,2.39
"1014",1014,1032,"Crash Bandicoot: The Huge Adventure","GBA",2002,"Platform","Universal Interactive",0.95,0.7,0,0.08,1.73
"229",229,231,"Guitar Hero III: Legends of Rock","Wii",2007,"Misc","Activision",3.06,1.12,0,0.44,4.62
"814",814,831,"Kingdom Hearts 358/2 Days","DS",2009,"Role-Playing","Square Enix",1.11,0.27,0.53,0.14,2.04
"1088",1088,1106,"NBA Live 2003","PS2",2002,"Sports","Electronic Arts",1.25,0.15,0.03,0.22,1.66
"1007",1007,1025,"Uncharted: Golden Abyss","PSV",2011,"Shooter","Sony Computer Entertainment",0.59,0.75,0.13,0.27,1.74
"492",492,499,"Need for Speed: Most Wanted","PS3",2012,"Racing","Electronic Arts",0.71,1.51,0.06,0.61,2.89
"507",507,514,"FIFA 16","PS3",2015,"Sports","Electronic Arts",0.4,1.98,0.05,0.42,2.85
"659",659,672,"Kirby's Dream Land 2","GB",1995,"Platform","Nintendo",0.69,0.14,1.48,0.05,2.36
"959",959,977,"Professor Layton and the Mask of Miracle","3DS",2011,"Puzzle","Nintendo",0.32,0.95,0.36,0.14,1.78
"1058",1058,1076,"NFL GameDay 98","PS",1997,"Sports","Sony Computer Entertainment",1.58,0.06,0,0.04,1.68
"842",842,859,"Resident Evil 6","X360",2012,"Shooter","Capcom",1.11,0.63,0.07,0.16,1.98
"302",302,306,"Donkey Kong Land","GB",1994,"Platform","Nintendo",1.97,0.76,1.07,0.11,3.91
"338",338,342,"Banjo-Kazooie","N64",1998,"Platform","Nintendo",1.87,1.13,0.55,0.1,3.65
"668",668,681,"The Sims 3","X360",2010,"Simulation","Electronic Arts",1.27,0.86,0,0.2,2.33
"528",528,535,"NBA Street","PS2",2001,"Sports","Electronic Arts",2.19,0.22,0,0.38,2.79
"325",325,329,"The Sims: Unleashed","PC",2002,"Simulation","Electronic Arts",2.03,1.56,0,0.17,3.76
"135",135,136,"Super Mario Sunshine","GC",2002,"Platform","Nintendo",4.01,1.26,0.87,0.17,6.31
"696",696,709,"Super Monkey Ball: Banana Blitz","Wii",2006,"Misc","Sega",1.07,0.92,0.04,0.24,2.27
"165",165,166,"Pokemon Stadium","N64",1999,"Strategy","Nintendo",3.18,1.24,0.94,0.09,5.45
"372",372,376,"Batman: Arkham Asylum","X360",2009,"Action","Eidos Interactive",2.2,0.97,0.02,0.31,3.5
"247",247,250,"Winning Eleven: Pro Evolution Soccer 2007","PS2",2006,"Sports","Konami Digital Entertainment",0.1,2.39,1.05,0.86,4.39
"840",840,857,"SimCity","SNES",1991,"Simulation","Nintendo",0.93,0.27,0.75,0.04,1.98
"1016",1016,1034,"Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City","PS2",2003,"Action","Take-Two Interactive",0.85,0.66,0,0.22,1.72
"979",979,997,"State of Emergency","PS2",2002,"Action","Take-Two Interactive",0.86,0.67,0,0.22,1.76
"876",876,894,"Mario Super Sluggers","Wii",2008,"Sports","Nintendo",1.51,0,0.29,0.12,1.93
"467",467,474,"The Sims: Livin Large","PC",2000,"Misc","Electronic Arts",1.67,1.18,0,0.13,2.99
"46",46,46,"Pokemon HeartGold/Pokemon SoulSilver","DS",2009,"Action","Nintendo",4.4,2.77,3.96,0.77,11.9
"116",116,117,"Crash Bandicoot","PS",1996,"Platform","Sony Computer Entertainment",3.23,2.35,0.94,0.3,6.82
"532",532,539,"inFAMOUS: Second Son","PS4",2014,"Action","Sony Computer Entertainment",1.27,0.97,0.07,0.47,2.78
"722",722,737,"Guitar Hero II","X360",2007,"Misc","Activision",2.01,0.02,0,0.17,2.2
"824",824,841,"NBA Live 2004","PS2",2003,"Sports","Electronic Arts",1.57,0.18,0,0.27,2.03
"1061",1061,1079,"Time Crisis","PS",1997,"Shooter","Namco Bandai Games",0.38,0.87,0.33,0.1,1.68
"804",804,821,"SoulCalibur II","PS2",2003,"Fighting","Namco Bandai Games",1.06,0.62,0.13,0.25,2.06
"506",506,513,"Skylanders: Spyro's Adventure","Wii",2011,"Action","Activision",1.4,1.14,0,0.31,2.85
"806",806,823,"Need for Speed: ProStreet","PS3",2007,"Racing","Electronic Arts",0.73,0.92,0.04,0.37,2.05
"184",184,186,"FIFA Soccer 13","X360",2012,"Action","Electronic Arts",1.08,3.48,0.03,0.58,5.18
"555",555,563,"Need for Speed: Shift","PS3",2009,"Racing","Electronic Arts",0.69,1.41,0.04,0.53,2.68
"1037",1037,1055,"Kirby's Return to Dreamland","Wii",2011,"Platform","Nintendo",0.62,0.21,0.79,0.08,1.7
"573",573,581,"ESPN NFL 2K5","PS2",2004,"Sports","Sega",2.15,0.12,0,0.36,2.62
"403",403,408,"Max Payne","PS2",2001,"Shooter","Take-Two Interactive",1.99,1.05,0.05,0.22,3.31
"630",630,640,"pro evolution soccer 2011","PS3",2010,"Sports","Konami Digital Entertainment",0.29,1.18,0.54,0.41,2.42
"426",426,431,"Fallout: New Vegas","PS3",2010,"Role-Playing","Bethesda Softworks",1.52,1.08,0.1,0.47,3.17
"526",526,533,"Mortal Kombat Trilogy","PS",1996,"Fighting","GT Interactive",1.98,0.7,0,0.11,2.79
"383",383,388,"LittleBigPlanet 2","PS3",2011,"Platform","Sony Computer Entertainment",1.82,1.07,0.06,0.47,3.42
"826",826,843,"Call of Duty 2","X360",2005,"Shooter","Activision",1.81,0.05,0.01,0.15,2.02
"515",515,522,"Myst","PC",1994,"Adventure","Red Orb",0.02,2.79,0,0,2.81
"884",884,902,"PaRappa The Rapper","PS",1996,"Misc","Sony Computer Entertainment",0.26,0.16,1.46,0.03,1.92
"476",476,483,"Hitman 2: Silent Assassin","PS2",2002,"Action","Eidos Interactive",1.36,1.15,0.04,0.41,2.96
"392",392,397,"The Legend of Zelda: Spirit Tracks","DS",2009,"Action","Nintendo",1.43,0.94,0.74,0.27,3.38
"332",332,336,"Pokémon Trading Card Game","GB",1998,"Strategy","Nintendo",1.49,0.73,1.38,0.1,3.7
"911",911,929,"Turok 2: Seeds of Evil","N64",1997,"Platform","Acclaim Entertainment",1.37,0.41,0.04,0.04,1.86
"1029",1029,1047,"Need for Speed Underground","XB",2003,"Racing","Electronic Arts",1.09,0.55,0,0.07,1.71
"209",209,211,"Uncharted: Drake's Fortune","PS3",2007,"Action","Sony Computer Entertainment",2.31,1.73,0.12,0.78,4.94
"115",115,116,"Uncharted 3: Drake's Deception","PS3",2011,"Action","Sony Computer Entertainment",2.77,2.8,0.19,1.06,6.83
"793",793,810,"Spec Ops: Airborne Commando","PS",2002,"Shooter","Take-Two Interactive",1.54,0.46,0,0.08,2.07
"491",491,498,"World Soccer Winning Eleven 7 International","PS2",2003,"Sports","Konami Digital Entertainment",0.08,1.24,1.13,0.45,2.9
"560",560,568,"Medal of Honor","PS",1998,"Shooter","Electronic Arts",1.44,1.09,0,0.14,2.67
"682",682,695,"Dead Island","PS3",2011,"Action","Deep Silver",1.08,0.75,0.15,0.31,2.29
"304",304,308,"Assassin's Creed IV: Black Flag","PS3",2013,"Action","Ubisoft",1.33,1.71,0.13,0.73,3.89
"975",975,993,"Sonic the Hedgehog 3","GEN",1994,"Platform","Sega",1.02,0.47,0.2,0.07,1.76
"220",220,222,"FIFA 17","PS4",2016,"Sports","Electronic Arts",0.28,3.75,0.06,0.69,4.77
"703",703,717,"Cool Boarders 2","PS",1997,"Sports","UEP Systems",1.52,0.46,0.2,0.08,2.25
"1062",1062,1080,"The Sims: Superstar","PC",2003,"Simulation","Electronic Arts",1.67,0,0,0,1.68
